沪松公路1519号、九新公路	上海青年城公寓	78万元	35平米	2010
文诚路1800弄	华亭别墅	1100万元	328平米	2004
人民北路2908弄	龙湖好望山	370万元	160平米	2010
场东路168弄	雅阁花园	370万元	184平米	2001
新桥镇明中路1010弄、99	万科白马花园	130万元	66平米	2007
明中路1588弄	沿海郦墅	395万元	229平米	2010
明中路699弄	明中龙祥家园	120万元	69平米	2009
7室2厅，18/20层，13800元/平米，南北向，建筑年代：2005	7室2厅，18/20层，13800元/平米，南北向，建筑年代：2005	345万元	250平米	null
明中路699弄	明中龙祥家园	270万元	195平米	2009
松汇西路1373弄	仓城五村	122万元	84平米	1999
思贤路1855弄	昌鑫花园	212万元	123平米	2006
九亭镇沪亭北路1001弄	依云郡	500万元	193平米	2006
九亭镇九杜路505弄	摩卡小城	230万元	114平米	2014
沪松公路1991号	大和别墅	400万元	270平米	2001
沪松公路2520弄	叶家村	300万元	420平米	2008
人民北路2908弄	龙湖好望山	465.5万元	226平米	2012
松江泗泾横港路49弄	松江祥和公寓	179万元	95平米	2005
涞坊路333弄	知雅汇	138万元	71平米	2004
朗亭路288弄	朗庭上郡苑别墅	485万元	330平米	2010
莘砖公路555弄	英郡雷丁	400万元	216平米	2010
新桥镇明中路1010弄、99	万科白马花园	175万元	86平米	2007
场东路168弄	雅阁花园	365万元	184平米	2001
沪亭路71弄	天宝恬苑	149万元	70平米	2004
九亭镇涞寅路1200弄	上海源花城	190万元	93平米	2008
涞坊路333弄	知雅汇	171万元	92平米	2004
谷阳北路1066弄	祥和花苑	230万元	134平米	2002
乐都西路1455弄	华亭新家苑	130万元	75平米	2006
涞坊路333弄	知雅汇	190万元	114平米	2004
沪亭北路338弄	贝尚湾别墅	420万元	226平米	2009
涞坊路1033弄	英伦风尚	175万元	80平米	2005
古楼公路1858弄	新凯家园	135万元	78平米	2006
人民北路2908弄	龙湖好望山	420万元	200平米	2012
洞泾长兴路1290号、长兴东	上海合生国际花园	360万元	340平米	2010
涞坊路333弄	知雅汇	180万元	97平米	2004
明中路1588弄	沿海丽水馨庭	550万元	255平米	2010
秋柏路98弄	佘山珑原	260万元	130平米	2012
新闵别墅区明华路888弄	晶苑四季御庭	450万元	232平米	2011
九亭镇沪亭北路1001弄	依云郡	490万元	193平米	2006
人民北路2908弄	龙湖好望山	460万元	200平米	2012
月台路500弄(近明中路路口	河谷3号	245万元	90平米	2010
新桥镇明中路1777弄	新弘国际城	125万元	89平米	2010
新南路501弄	同润加州	200万元	129平米	2005
涞亭南路290弄	新上海花园洋房	660万元	303平米	2002
涞坊路1033弄	馨亭家苑	220万元	122平米	2007
新桥镇明中路1777弄	新弘国际城	145万元	90平米	2013
沪松公路2972弄	绿波景园	170万元	136平米	2010
沪亭南路299弄、沪亭南路1	环岛翡翠湾	700万元	341平米	2004
九亭九新公路28弄	丽景苑	190万元	105平米	2007
新城人民北路2908弄	龙湖佘山公馆	330万元	195平米	2013
月台路500弄(近明中路路口	河谷3号	210万元	67平米	2009
江学路558弄	安信湖畔天地坊	255万元	146平米	2005
茜蒲路651弄	晨星小区	106万元	118平米	2006
明中路699弄	明中龙祥家园	145万元	89平米	2009
新城区文诚路1800弄、文诚	华亭公寓	200万元	120平米	2007
古楼公路1858弄	新凯家园	163万元	94平米	2006
涞寅路658弄	绿庭尚城	185万元	95平米	2008
永丰路216弄、270弄	玉龙苑	185万元	117平米	2012
新桥镇新南街301弄	万宇阳光苑	90万元	64平米	2009
玉树北路455弄	海德名园	380万元	212平米	2005
莘松路1500弄	荣盛名邸	165万元	99平米	2005
涞寅路658弄	绿庭尚城	220万元	123平米	2010
春莘路200弄	云间水庄别墅	572万元	268平米	2004
明中路1177弄	达安圣芭芭花园	390万元	198平米	2009
古楼公路1858弄	新凯家园	113万元	58平米	2006
九杜路939号(近涞坊路)	新虹桥首府	150万元	86平米	2011
泗陈公路501弄	西南名苑	245万元	130平米	2006
沪亭北路338弄	贝尚湾别墅	293万元	181平米	2009
九杜路1000弄、涞坊路65	中大九里德	170万元	90平米	2011
明中路1177弄	达安圣芭芭花园	420万元	245平米	2014
新城人民北路2908弄	龙湖佘山公馆	420万元	195平米	2014
广富林路嘉松南路口	绿地蔷薇九里别墅	270万元	96平米	2010
新城区思贤路888弄	绿洲华庭苑别墅	410万元	198平米	2000
新松江路1388弄	紫东新苑	276万元	180平米	2005
新城区思贤路888弄	绿洲华庭苑别墅	360万元	189平米	2000
春莘路200弄	云间水庄别墅	480万元	238平米	2004
九亭沪松公路1480弄	亭汇花苑	80万元	40平米	2000
泗泾镇文化路256弄	大名公寓	185万元	136平米	2005
新南路555弄、新南路501	同润别庄	600万元	291平米	2003
广富林路1518弄(嘉松南路	绿地蔷薇九里	303万元	186平米	2012
莘松路1288弄	绿洲香岛	288万元	151平米	2008
莘闵别墅区莘松路1500弄	万宇荣盛名邸三期逸林	420万元	242平米	2012
广富林路1518弄(嘉松南路	绿地蔷薇九里	200万元	112平米	2012
梅家浜路1508弄	三湘四季花城二期	87万元	52平米	2005
新桥镇明中路1010弄、99	万科白马花园	178.6万元	73平米	2007
松江泗泾横港路49弄	松江祥和公寓	630万元	355平米	2005
人民北路2908弄	龙湖好望山	460万元	230平米	2012
思贤路2399弄	爱丁堡别墅	450万元	235平米	2005
莘闵别墅区莘松路1500弄	万宇荣盛名邸三期逸林	418万元	242平米	2012
古楼公路1858弄	新凯家园	135万元	81平米	2006
古楼公路1858弄	新凯家园	135万元	78平米	2006
泗凤公路1718弄	新凯家园三期	98万元	72平米	2011
泗泾镇鼓浪路787弄、801	润和苑	240万元	131平米	2005
泗泾镇鼓浪路787弄、801	润和苑	290万元	188平米	2005
泗泾镇鼓浪路787弄、801	润和苑	240万元	131平米	2005
沪松公路2517弄、沪松公路	丽水豪庭	170万元	130平米	2006
沪松公路2818弄	中京苑	155万元	130平米	2004
泗宝路86号、88号	三湘青年e+	78万元	46平米	2011
古楼公路1858弄	新凯家园	138万元	82平米	2006
横港路643号、古楼公路34	金港河滨华城	220万元	137平米	2005
横港公路155弄	金港花园	175万元	95平米	2006
新家园路128弄	新凯家园二期	155万元	78平米	2009
古楼公路1858弄	新凯家园	140万元	82平米	2006
泗凤公路1718弄	新凯家园三期	92万元	69平米	2011
古楼公路1858弄	新凯家园	136万元	82平米	2006
古楼路1899号	米兰诺贵都	172万元	91平米	2013
古楼公路1858弄	新凯家园	136万元	78平米	2006
沪松公路2972弄	绿波景园	170万元	135平米	2008
泗凤公路1718弄	新凯家园三期	95万元	72平米	2011
泗凤公路1718弄	新凯家园三期	85万元	70平米	2011
古楼公路1858弄	新凯家园	145万元	79平米	2009
沈砖公路3899弄、昆公路3	中凯曼荼园	4500万元	480平米	2010
沪亭北路618弄	九城湖滨国际	119万元	59平米	2007
新南路1088号	丽水华庭	260万元	173平米	2003
佘山国家森林度假区佘北公路6	世茂佘山庄园	7500万元	1219平米	2006
涞寅路658弄	绿庭尚城	240万元	128平米	2008
明中路1588弄	沿海郦墅	408万元	323平米	2008
新南路1088号	丽水华庭别墅	248万元	152平米	2005
九亭大街473弄	良隆园	180万元	108平米	2000
沪亭路66弄、沪亭路88弄	九亭苑	135万元	73平米	2000
新松江路2618弄	德邑小城别墅	590万元	390平米	2009
泗宝路86号、88号	三湘青年e+	119万元	59平米	2011
泗泾镇泗陈公路2弄	丽茵别墅	480万元	298平米	2003
新桥镇明中路1777弄	新弘国际城	100万元	60平米	2014
涞寅路658弄	绿庭尚城	180万元	91平米	2010
人民北路2908弄	龙湖好望山	500万元	234平米	2012
涞寅路106弄	奥林匹克花园三期	148万元	71平米	2009
古楼公路1858弄	新凯家园	145.5万元	100平米	2006
梅家浜路1508弄	三湘四季花城二期	300万元	136平米	2005
广富林路1518弄(嘉松南路	绿地蔷薇九里	210万元	111平米	2012
广富林路1599弄	三湘四季花城四期玉兰	245万元	125平米	2006
