田东路258弄、漕东支路21 宏润国际花园 550万元 134平米 2004
田东路66弄、田东路78弄 漕溪四村 197万元 63平米 1982
田东路69弄 科汇景苑 430万元 135平米 2004
徐虹北路18弄 徐家汇景园 500万元 114平米 2003
徐虹北路5弄 徐虹华庭 750万元 180平米 2003
徐虹北路22弄 庆余公寓 380万元 108平米 1998
吴中东路500弄、龙华路23 东航小区 180万元 49平米 1990
冠生园路411弄 文馨苑 300万元 70平米 2005
冠生园路237弄 冠生园路237弄小区 205万元 68平米 1994
冠生园路230弄 薛家宅小区 230万元 59平米 1993
冠生园路403弄1-12号 康沁苑 475万元 117平米 2000
冠生园路235弄 冠生园路235弄小区 210万元 68平米 1998
冠生园路230弄 冠生园路230弄小区 372万元 93平米 1992
冠生园路403弄 师大森呼吸 540万元 138平米 null
冠生园路20号 沪华公寓 368万元 132平米 1997
冠生园路261弄 冠生园小区 270万元 76平米 1996
肇家浜路988号.1018号 汇金广场公寓 570万元 140平米 1998
肇家浜路853弄 肇嘉浜路853弄 170万元 42平米 1996
南昌路555号 东方巴黎 550万元 100平米 2000
安福路168号 亦园大厦 1750万元 292平米 2000
安福路198号 金苑 1300万元 239平米 1997
南宁路501弄 徐汇馨苑 420万元 119平米 2010
吴兴路25弄 中汇花园 1000万元 189平米 1996
吴兴路270弄 公安大楼(吴兴路) 279.99万元 50平米 1994
吴兴路新里 吴兴路新里 1000万元 159平米 1946
吴兴路24弄 吴兴路24弄小区 990万元 189平米 1995
永嘉路新里 永嘉路新里 238万元 38平米 1946
永嘉路291弄 永嘉路291弄小区 498万元 91平米 2000
永嘉路158号近嘉善路 嘉嘉大楼 538万元 116平米 2004
永嘉路356弄 永太小区 215万元 39平米 1991
永嘉路477号 太原别墅 1000万元 160平米 2004
永嘉路589弄近乌鲁木齐路 永嘉大楼 530万元 95平米 1993
永嘉路94号 永嘉公寓 700万元 121平米 2002
永嘉路689弄 永嘉路689弄小区 170万元 20平米 1994
龙川北路177号 园南一村 190万元 53平米 1988
龙川北路418弄 海波金桂苑 550万元 173平米 2005
龙瑞路128号、龙吴路126 中海瀛台 615万元 156平米 2007
龙瑞路77弄 中海瀛台二期 630万元 148平米 2009
古井路38号 锦馨苑 362万元 95平米 2003
古井路165号 锦馨公寓 325万元 95平米 2004
蒲汇塘路50弄 玉兰花苑 400万元 79平米 1992
蒲汇塘路163弄 泰德苑 680万元 122平米 2000
蒲汇塘路101号 名人雅居沪贵苑 500万元 120平米 1999
百色路222号 汇成一村 138万元 50平米 1994
百色路455弄 园南二村 185万元 57平米 1990
百色路108号 园南三村 165万元 42平米 1996
百色路龙川北路 汇成四村 102万元 34平米 1994
百色路56号 汇成五村 122万元 41平米 1995
百色路嘉川路 汇成三村 180万元 61平米 1995
百色路228弄-238弄 天然居 710万元 155平米 2004
汾阳路77号 新汾阳公寓 960万元 167平米 1997
辛耕路81弄 永新城 2200万元 272平米 2007
龙吴路2588弄 华泾绿苑 315万元 135平米 2004
龙吴路555号 绿邑翠苑 365万元 113平米 2004
龙吴路515号、石龙路33弄 徐汇龙庭 205万元 62平米 2000
龙吴路1343弄 华沁家园 275万元 90平米 2011
龙吴路1717弄 徐汇新城 365万元 116平米 2007
龙吴路338弄 狮城花苑 269万元 92平米 1994
龙吴路2418弄 华欣家园 230万元 88平米 2005
龙吴路11弄 龙吴路11弄小区 190万元 59平米 1995
龙吴路288弄 徐汇御景苑 420万元 110平米 2003
龙吴路1137弄 百龙小区 140万元 42平米 1995
龙吴路510弄龙南七村1-8 龙南七村 202万元 72平米 1997
龙吴路2388弄 东湾小区 170万元 81平米 1995
龙吴路276弄 龙吴路276弄小区 65万元 65平米 1990
龙吴路1323弄 华滨家园 275万元 91平米 2011
龙吴路11弄 龙吴路11弄 130万元 40平米 1980
龙吴路2525号 名人花苑 310万元 152平米 1999
虹桥路168号 东方曼哈顿 880万元 143平米 2005
虹桥路772弄、凯旋路180 凯旋一村 240万元 50平米 1989
虹桥路168号 东方曼哈顿西区 600万元 95平米 2005
虹桥路666弄1-18号 虹桥乐庭铂晶馆 690万元 123平米 2005
虹桥路178弄、宜山路55号 青之杰花园 620万元 137平米 2003
虹桥路188号 元福大厦 550万元 133平米 2000
虹桥路400弄 虹桥路400弄小区 470万元 118平米 1992
虹桥路666弄 虹桥乐庭 550万元 108平米 2005
虹桥路411弄 乐山八九村 240万元 56平米 1991
虹桥路128号 东方曼哈顿尚东区 2000万元 192平米 2004
虹桥路550弄 交大公寓 500万元 129平米 2001
虹桥路628号 铂金馆 800万元 152平米 2007
凯旋路3500号(华亭宾馆旁 华苑大厦 400万元 138平米 2000
凯旋路1688弄、虹桥路88 阳光名邸 580万元 140平米 2002
凯旋路3188弄边门 凯旋豪庭 650万元 156平米 2005
凯旋路2280弄 凯旋路2280弄小区 190万元 51平米 2000
华容路111弄 华容小区 343万元 105平米 2000
襄阳南路452弄 襄阳南路452弄小区 185万元 29平米 1980
襄阳南路500号 巴黎时韵 190万元 58平米 2003
襄阳南路489号 金环大厦商住楼 540万元 157平米 1998
襄阳南路550弄 襄阳公寓 800万元 143平米 2006
襄阳南路新里 襄阳南路新里 470万元 77平米 1949
襄阳南路388弄 襄阳南路388弄小区 300万元 48平米 1990
襄阳北路100号 襄北大楼 245万元 52平米 1990
襄阳南路499弄 襄阳南路499弄新里 162万元 26平米 1936
襄阳南路277弄 襄阳南路277弄小区 100万元 20平米 1936
延庆路华亭路 延庆路123弄小区 1050万元 145平米 1991
延庆路54弄 延庆路54弄小区 749万元 108平米 1997
零陵路751弄 电影华苑 518万元 88平米 2008
零陵路789弄 创世纪花园 700万元 142平米 2000
零陵路585号 爱邦大厦 420万元 148平米 2002
零陵北路7弄1-5号、茶陵路 天合雅园 630万元 148平米 2005
零陵路250弄 枫林新村 210万元 60平米 1986
零陵路625号 爱和大厦 370万元 122平米 2007
零陵路791弄3号 上影广场公寓 650万元 161平米 1997
零陵路29弄 丝庐花语 430万元 107平米 2005
零陵路365号 东汇花苑 300万元 84平米 1999
零陵路625号 爱乐大厦 400万元 122平米 1997
零陵北路9弄 日晖新城 498万元 121平米 2004
零陵路289弄1-12号 零陵路289弄小区 180万元 48平米 1978
零陵路648号 天钥新村 155万元 43平米 1986
零陵路791弄3号 上影广场 650万元 161平米 1998
龙华西路315弄 华富小区 222万元 76平米 2002
龙华路2518弄 盛大花园 620万元 137平米 2003
龙华西路398弄 强生花苑 440万元 120平米 2000
龙华西路591弄 宜仕怡家 510万元 120平米 2003
龙华路3208弄(1-32号 龙兆苑 540万元 136平米 2003
龙华路3166弄 汇龙花苑 290万元 86平米 2005
龙华西路31弄、81弄 海波花苑 280万元 80平米 1998
龙华西路21弄70-79号 生活花苑 215万元 80平米 1998
龙华西路31弄 俞一小区 101万元 35平米 1985
龙华西路25弄 龙华机场新村 240万元 77平米 2000
龙华西路535弄 明佳苑 410万元 117平米 1998
龙华西路525弄 明安馨苑 530万元 130平米 2004
龙华西路81弄 龙华西路81弄小区 200万元 58平米 1998
龙华西路21弄18-56号 俞三小区 300万元 98平米 1994
龙华西路309弄 龙华西路309弄小区 185万元 65平米 1958
天平路179弄 天平小区 265万元 50平米 1995
天平路91弄 天平路91弄小区 270万元 55平米 1990
天平路洋房 天平路洋房 3600万元 290平米 1934
9室4厅，24/26层，56747元/平米，南北向，建筑年代：2004 9室4厅，24/26层，56747元/平米，南北向，建筑年代：2004 4500万元 793平米 null
嘉川路凌云路 梅陇五村 158万元 58平米 1990
嘉川路老沪闵路 嘉川公寓 260万元 83平米 2005
高安路50弄 高安路50弄小区 570万元 95平米 1985
高安路18弄 高安路18弄小区 275万元 44平米 2004
高安路47号 华强公寓 310万元 62平米 1993
高安路105号 高安公寓 650万元 103平米 1996
高安路建国西路 高安路82弄公房 279万元 40平米 1988
高安路9弄 高安路9弄小区 330万元 46平米 1970
高安路11号 高安路11号洋房 3000万元 300平米 1924
高安路69弄 高安路69弄小区 3000万元 310平米 1936
梅陇路300弄 化工二三村 195万元 57平米 1995
梅陇路130号 化工一四村 142万元 37平米 1992
梅陇路龙州路 梅陇七村 168万元 65平米 1995
梅陇路凌云路 梅陇三村 102万元 37平米 2001
梅陇路130号 华理苑 125万元 40平米 1997
中山南二路1057弄 协昌小区 245万元 65平米 2000
中山南二路2031号 申航小区 300万元 69平米 1990
中山西路1536弄 吴中公寓 325万元 90平米 1996
中山南二路999弄 中山苑 446万元 138平米 1994
中山南二路918弄 中山南二路918弄小 98万元 30平米 1993
中山南二路1007号 中煌大厦 50万元 29平米 2004
中山西路1788弄 长春小区 158万元 47平米 1993
中山南路918弄 天钥二村 220万元 50平米 2000
中山南二路508号近小木桥路 泰莱大厦公寓 308万元 89平米 2007
中山南二路932号 龙山公寓 550万元 134平米 1998
中山南二路777弄 东安花苑 380万元 112平米 2006
中山南二路850弄 华侨新村 310万元 85平米 1985
中山西路1698弄 明园小安桥 490万元 115平米 2005
中山南二路960弄 龙山新村 180万元 46平米 1987
